,0,1,2,sep_1v2
d_12,-1.6286742651469706,6.6267880364109235,-10.584976025572722,17.211764061983644
d_4,-0.8860227954409118,4.300715214564369,-7.0468833244539155,11.347598539018286
d_10,-0.8884223155368927,3.360208062418726,-5.266915290356953,8.627123352775678
d_11,-0.740251949610078,3.2665799739921977,-5.31806073521577,8.584640709207967
d_3,0.20215956808638272,2.7636540962288687,-3.061267980820458,5.824922077049327
d_5,0.352129574085183,-2.3247724317295186,3.3665423548215236,5.691314786551042
d_2,-1.0881823635272945,1.5370611183355007,-3.985615343633458,5.522676461968959
d_6,-1.2153569286142771,1.5503901170351104,-3.6782099094299414,5.228600026465052
d_1,-1.6038932213557289,-4.0635019505851755,0.6732898241875332,4.736791774772708
d_8,0.2663467306538692,2.3192457737321197,-2.301545018646777,4.620790792378896
d_9,1.0065986802639473,-0.947334200260078,3.016515716568993,3.963849916829071
d_7,-0.32693461307738453,-1.8098179453836152,1.588705380927011,3.3985233263106265
d_15,5.156541826361417,6.222970424335544,4.366887360675699,1.8560830636598444
d_16,3.5008643864318887,3.99866426759298,2.9847800372950237,1.0138842302979563
d_13,-0.10539244939190288,0.3658468259352962,-0.6093190364162723,0.9751658623515684
d_14,-0.06422100780062023,0.3196851768137682,-0.4905746850047653,0.8102598618185335
d_18,0.9768797699306443,0.8620866054656489,1.0852985915115783,0.2232119860459294
d_20,-0.40482867561444574,-0.3616629228072744,-0.4237773544841789,0.0621144316769045
d_17,-0.03666230274679768,0.005309637877042689,0.009232510402052863,0.003922872525010173
d_19,0.1559820476967533,0.14503941007540433,0.1417510669172916,0.0032883431581127165
