feature_pair,ks_stat,p_value
feat_1,0.4314199395770393,0.0
feat_2,0.026586102719033233,0.018570043667218924
feat_3,0.02447129909365559,0.03795680996457912
feat_4,0.0075528700906344415,0.9916234556539475
feat_5,0.008459214501510574,0.9718494029510929
feat_6,0.025377643504531724,0.028143598846554978
feat_7,0.025377643504531724,0.028143598846554978
feat_8,0.0256797583081571,0.02541123469522877
feat_9,0.024773413897280966,0.03439629244484114
feat_10,0.014652567975830815,0.4760441263158041
feat_11,0.018731117824773415,0.19584879197222502
feat_12,0.016767371601208458,0.30982726263699784
feat_13,0.022356495468277945,0.07311742390965062
feat_14,0.009969788519637462,0.8972408865197665
feat_15,0.7261329305135952,0.0
feat_16,0.8471299093655589,0.0
feat_17,0.04138972809667674,2.3700336915652278e-05
feat_18,0.7146525679758308,0.0
feat_19,0.38157099697885194,0.0
feat_20,0.8865558912386707,0.0
