,0,1,2,abs_diff_1v2
c_19,-1.6286742651469706,6.6267880364109235,-10.584976025572722,17.211764061983644
c_12,-0.8860227954409118,4.300715214564369,-7.0468833244539155,11.347598539018286
g2_12,0.08038392321535692,-3.168725617685306,5.684603090037293,8.8533287077226
c_17,5.707858428314337,10.058192457737322,1.366009589770911,8.69218286796641
c_18,-7.336532693461308,-3.431404421326398,-11.950985615343633,8.519581194017235
g1_12,-1.5482903419316136,3.4580624187256177,-4.900372935535429,8.358435354261047
g1_4,23.80263947210558,27.65149544863459,21.39957378795951,6.25192166067508
c_10,3.991601679664067,6.7591027308192455,0.9158231220031966,5.843279608816049
c_11,-4.877624475104979,-2.4583875162548763,-7.962706446457112,5.504318930202236
g2_4,24.68866226754649,23.35078023407022,28.446457112413427,5.095676878343205
g2_11,-3.2579484103179364,-4.933355006501951,-0.474160895045285,4.459194111456665
g2_10,3.3383323335332933,1.7646293888166449,6.158763985082579,4.394134596265934
c_2,1.2315536892621475,3.3257477243172953,-1.0293020777836974,4.355049802100993
g1_10,2.449910017996401,5.12483745123537,0.891848694725626,4.232988756509744
g1_11,-3.9982003599280143,-1.666775032509753,-5.7922216302610545,4.125446597751301
g1_2,13.796040791841632,15.823472041612483,12.688332445391582,3.1351395962209008
g1_3,10.006598680263947,11.828023407022107,8.711241342567927,3.1167820644541795
g2_1,4.233639472105579,6.178938556566971,3.0780399573787958,3.100898599188175
g1_6,12.64127174565087,14.778933680104032,11.85668620138519,2.922247478718843
g2_5,11.021595680863827,12.115409622886865,9.241342567927544,2.874067054959321
